z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1.074,48,464915,27625105000.0,3244940300.0,4415217700.0,19953037000.0,1.8581932,138.35854,6.439025,73.772545,3.1075976
1.074,48,465213,8244985300.0,1167091700.0,689500900.0,6385117000.0,0.47162727,106.5465,38.183727,67.86156,2.437704
1.074,48,465333,7794330600.0,1295889900.0,1577702100.0,4913618000.0,1.0885702,107.790146,16.133888,60.26608,1.5120646
1.074,48,465402,36074670000.0,5308609500.0,4887439400.0,25872157000.0,2.5329993,133.28625,8.407957,69.996216,4.3795686
1.074,48,465564,13820004000.0,1849689300.0,2186085400.0,9776417000.0,1.3567985,117.10479,7.1667204,68.70963,2.242848
1.074,48,465639,19376585000.0,2954338000.0,1141617000.0,15276728000.0,0.9471803,113.466644,20.741901,63.57958,3.9957407
1.074,48,465931,9289461000.0,1638114300.0,2767830800.0,4875957000.0,2.3021712,117.92621,2.4934275,61.783287,1.447632
1.074,48,465976,18129480000.0,2607626800.0,2880077000.0,12632295000.0,1.6662694,124.517456,5.9224005,66.62025,2.5287423
1.074,48,466061,5973745700.0,840558460.0,594363300.0,4538823700.0,0.4102301,88.561935,9.98283,51.086685,1.8190432
1.074,48,466310,5793609700.0,1104676200.0,635678700.0,4049685000.0,0.6620737,94.76703,20.549694,53.39527,1.7432277
1.074,48,466402,19479860000.0,2956588300.0,1445171100.0,15073905000.0,1.1120641,113.75526,15.883103,62.447327,3.8357062
1.074,48,467292,9506746000.0,1692210400.0,1051717000.0,6759004000.0,1.4849081,114.77796,15.363548,68.44343,2.0472968
1.074,48,467491,6006984000.0,807887740.0,1431375700.0,3760195300.0,0.87281805,108.10238,15.832941,61.634323,1.2594938
1.074,48,467629,33294690000.0,4915329500.0,2733459700.0,25640294000.0,1.7759416,121.63675,12.621593,67.251495,4.934888
1.074,48,467708,28838863000.0,4441161000.0,1700638700.0,22693665000.0,1.1106082,112.09982,18.982977,64.983086,5.3268423
1.074,48,468022,11641911000.0,2075538700.0,1505182600.0,8057172000.0,0.8338603,101.01287,29.110773,58.813908,2.931514
1.074,48,468263,16747240000.0,2588805600.0,1600067100.0,12554251000.0,1.1127137,113.480545,18.37719,65.26017,3.0995212
1.074,48,468344,13941783000.0,2027679000.0,1854020900.0,10055016000.0,0.98469937,107.677864,5.09752,58.74425,2.5943322
1.074,48,468670,2526130400.0,387130100.0,135256910.0,2003743500.0,0.17517373,68.06697,5.902168,44.52267,1.4312664
1.074,48,470154,9032458000.0,1342673000.0,1870375400.0,5812943000.0,0.99440366,106.58577,11.38124,60.222206,1.7964325
1.074,48,470235,11476762000.0,1934469600.0,1095160300.0,8442403300.0,1.4277332,110.99493,16.618004,62.064983,2.3313882
1.074,48,470453,11099467000.0,1396160500.0,851140500.0,8847598000.0,0.6955675,103.4862,7.7728877,57.825115,2.4381106
1.074,48,470562,21865605000.0,3243779300.0,1608284700.0,17008678000.0,0.89809996,109.798386,15.10066,60.636787,4.380893
1.074,48,470991,13135790000.0,1887978200.0,1607291400.0,9636663000.0,0.9861392,113.35143,25.481192,71.45797,2.342276
1.074,48,471256,12587268000.0,1434966100.0,3098914300.0,8042199000.0,1.2814909,127.4265,3.1200922,67.258965,1.6695234
1.074,48,471349,12257828000.0,1807776300.0,1900356400.0,8543134000.0,1.8973054,112.79571,10.462854,70.014275,2.1270032
1.074,48,471572,14941849000.0,1894603800.0,3085183700.0,9952471000.0,1.307077,122.811455,7.153296,66.6849,2.208058
1.074,48,471712,7313094700.0,1259796000.0,1269803100.0,4778402000.0,1.6414284,120.16381,28.068253,74.749405,1.6726594
1.074,48,472073,13265520000.0,1766444300.0,810319740.0,10684816000.0,0.54337937,103.45156,25.081274,60.07594,3.341208
1.074,48,472195,19590494000.0,2568457200.0,2994013400.0,14020305000.0,1.5417846,117.842476,15.7244005,67.87948,3.1075723
1.074,48,472244,26904440000.0,3412410000.0,1990175400.0,21497135000.0,0.9924835,116.92079,9.645984,65.79894,4.280629
1.074,48,472315,13131175000.0,1706319700.0,4538817500.0,6871533000.0,1.7483257,138.39018,3.2907844,68.36657,1.4843171
