z,Snapshot,SubhaloID,"M,M_{\odot}","$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",SFR($M_{\odot}/yr$),$V_{max}$(km/s),$R_{max}$(kpc),$\sigma_v$(km/s),$R_{1/2M_*}(kpc)$
1.667,37,281248,11534698000.0,1537514900.0,300527070.0,9695196000.0,0.30499083,85.726456,14.295344,54.508755,3.714283
1.667,37,281249,10507660000.0,1979356000.0,340972300.0,8186036700.0,0.66078633,84.10752,12.816363,52.212147,3.4950812
1.667,37,281571,19452367000.0,1291138800.0,10232068000.0,7855708700.0,4.5311437,239.08035,0.4622472,103.17567,0.8910563
1.667,37,281709,27060752000.0,3526615000.0,6805283000.0,16708752000.0,4.3787737,164.53534,7.250349,87.34416,2.17999
1.667,37,281710,945427000.0,150479620.0,102530584.0,692416800.0,0.09781133,60.52942,13.20548,35.727627,0.7880733
1.667,37,282004,16122995000.0,2828476000.0,4831408600.0,8448755000.0,4.3373156,150.54012,2.6195407,82.748245,1.5390662
1.667,37,282260,33470490000.0,3745130500.0,11007563000.0,18689808000.0,4.7252774,189.33417,3.8424273,100.92795,2.0104818
1.667,37,282379,70581990000.0,13412479000.0,5517902000.0,51644035000.0,10.936804,190.44893,14.3804655,118.878136,4.421808
1.667,37,282380,2689485000.0,814139260.0,751395000.0,1119392000.0,1.9931928,94.02277,1.38182,55.54025,0.65584236
1.667,37,282724,44621500000.0,6425656000.0,4380243000.0,33806817000.0,4.5064597,158.94261,16.767157,99.39671,4.249122
1.667,37,282725,2474760700.0,765158200.0,746220800.0,957858370.0,2.2791016,99.05203,0.9460525,53.691395,0.555021
1.667,37,282907,26596676000.0,5749419000.0,2475337700.0,18365833000.0,4.9652643,154.51294,29.303562,101.98045,3.283041
1.667,37,282908,5681187000.0,1372252300.0,707982200.0,3598661600.0,0.99358976,79.33803,4.0235023,48.036034,1.9451675
1.667,37,282910,2937684000.0,512832220.0,339433860.0,2085417900.0,0.38585,68.91531,1.9297298,43.1135,1.3418294
1.667,37,283100,23020098000.0,5709124600.0,5792687600.0,11502014000.0,10.571927,172.23958,15.919721,106.23631,1.7611065
1.667,37,283257,18429854000.0,2504339500.0,9500607000.0,6386025000.0,8.652244,230.88264,0.33278596,104.83153,1.0151345
1.667,37,283404,22520056000.0,4391956000.0,4381842400.0,13739436000.0,5.506863,149.24081,4.1507616,96.15439,2.178759
1.667,37,283405,11813907000.0,1941311200.0,1152145700.0,8716466000.0,1.2116013,105.207634,4.604925,65.98751,2.2963336
1.667,37,283620,58652580000.0,10790971000.0,2328688000.0,45528900000.0,2.9348605,153.68591,34.211475,97.21992,6.7527385
1.667,37,283621,7537431600.0,720948000.0,438626370.0,6377857000.0,0.20350613,87.950874,11.073891,51.16816,2.4307594
1.667,37,283622,10562851000.0,1790074000.0,937609340.0,7831660500.0,1.401758,105.6491,5.2585964,67.194374,2.0811918
